Country,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
Guatemala,Gamma,19/12/2015,16/01/2016,1.24346429012979,1.07575091608878,1.44294385388151
Guatemala,Gamma,26/12/2015,23/01/2016,1.08076164415247,0.958763434150292,1.21671583283151
Guatemala,Gamma,02/01/2016,30/01/2016,1.1385441031808,1.02627730364246,1.25839408070104
Guatemala,Gamma,09/01/2016,06/02/2016,1.1051054375054,0.997159974441373,1.21816484700261
Guatemala,Gamma,16/01/2016,13/02/2016,1.27224410737845,1.15575882878886,1.39487541400787
Guatemala,Gamma,23/01/2016,20/02/2016,1.20946723542851,1.08709207559469,1.33395605894888
Guatemala,Gamma,30/01/2016,27/02/2016,1.15447672575345,1.03654358564571,1.28371177607289
Guatemala,Gamma,06/02/2016,05/03/2016,1.01250300848196,0.915979202258539,1.11749415080722
Haiti,Gamma,23/01/2016,20/02/2016,2.2689506222693,1.70654863424235,3.26019896575425
Haiti,Gamma,30/01/2016,27/02/2016,1.63349410794253,1.33168026051141,2.08272935266187
Haiti,Gamma,06/02/2016,05/03/2016,1.14703943963333,0.995014081258395,1.37028468563236
Haiti,Gamma,13/02/2016,12/03/2016,0.869228995687124,0.795588762023842,0.96460473007014
Honduras,Gamma,09/01/2016,06/02/2016,2.9534821237767,2.02405565795265,4.3854742268667
Honduras,Gamma,16/01/2016,13/02/2016,2.03564175877767,1.55507002881082,2.6981243658562
Honduras,Gamma,23/01/2016,20/02/2016,1.40936125658581,1.17612253393066,1.72285704886917
Honduras,Gamma,30/01/2016,27/02/2016,1.02351120408602,0.931658924352134,1.15590746677329
Honduras,Gamma,06/02/2016,05/03/2016,0.813349536572118,0.773299419180544,0.862341714067414
Honduras,Gamma,13/02/2016,12/03/2016,0.643784830812765,0.606101714940612,0.688939896330036
Honduras,Gamma,20/02/2016,19/03/2016,0.531633881590553,0.485273509460913,0.592417781274362
Honduras,Gamma,27/02/2016,26/03/2016,0.450510443088862,0.394582032359234,0.523358258587896
Honduras,Gamma,05/03/2016,02/04/2016,0.44069475062275,0.371775060956853,0.529237449270133
Honduras,Gamma,12/03/2016,09/04/2016,0.448667492784909,0.368570508592484,0.546831826845537
Honduras,Gamma,19/03/2016,16/04/2016,0.531346763529074,0.434406235208326,0.64441800545134
Honduras,Gamma,26/03/2016,23/04/2016,0.616103182918762,0.511949245967974,0.727791934289431
Honduras,Gamma,02/04/2016,30/04/2016,0.913191300370732,0.78460903947898,1.03565111772568
Honduras,Gamma,09/04/2016,07/05/2016,1.13867532637264,1.02593128242462,1.23716132749077
Honduras,Gamma,16/04/2016,14/05/2016,1.25610549432911,1.15753584269951,1.35598770171534
Honduras,Gamma,23/04/2016,21/05/2016,1.20704076437628,1.11482072635074,1.30663720199278
Martinique,Gamma,02/01/2016,30/01/2016,4.97671124288206,2.92693983901662,8.47072018726352
Martinique,Gamma,09/01/2016,06/02/2016,3.17308545581307,2.02466510732569,4.9488741977124
Martinique,Gamma,16/01/2016,13/02/2016,2.025838648383,1.48391756113464,2.90651080016328
Martinique,Gamma,23/01/2016,20/02/2016,1.65678173143054,1.38111792998923,2.09984533323538
Martinique,Gamma,30/01/2016,27/02/2016,1.4515132839099,1.28417210316717,1.68581398213764
Martinique,Gamma,06/02/2016,05/03/2016,1.25083262264225,1.13280847330165,1.40033791673404
Martinique,Gamma,13/02/2016,12/03/2016,1.18758771524701,1.11211594588493,1.29028454717281
Martinique,Gamma,20/02/2016,19/03/2016,1.22612690125679,1.1725451313696,1.29461060541951
Martinique,Gamma,27/02/2016,26/03/2016,1.09166271830023,1.03408541248392,1.14701793803517
Martinique,Gamma,05/03/2016,02/04/2016,0.977500216731578,0.937720092364996,1.02678229787114
Martinique,Gamma,12/03/2016,09/04/2016,0.908494113876399,0.880325251815208,0.937415077847643
Martinique,Gamma,19/03/2016,16/04/2016,0.894261822672427,0.862460488696752,0.929389582496379
Martinique,Gamma,26/03/2016,23/04/2016,0.908216933912054,0.872092935662201,0.945206129877179
Martinique,Gamma,02/04/2016,30/04/2016,1.03023173654545,0.99197865591256,1.06672700118776
Martinique,Gamma,09/04/2016,07/05/2016,1.03963633784788,1.01063610393178,1.06842607171087
Martinique,Gamma,16/04/2016,14/05/2016,1.08878626598611,1.05708204755858,1.12219549296935
Martinique,Gamma,23/04/2016,21/05/2016,1.02153737568902,0.990688546711761,1.05222561731098
Jamaica,Gamma,12/12/2015,09/01/2016,5.71609380014942,2.43415831788914,11.044389483757
Jamaica,Gamma,19/12/2015,16/01/2016,5.28371991135353,2.70540795289776,9.35706264859179
Jamaica,Gamma,26/12/2015,23/01/2016,4.8036459200943,2.71144230187997,7.91835095254825
Jamaica,Gamma,02/01/2016,30/01/2016,7.03355440651444,4.35391690569885,10.9316353040732
Jamaica,Gamma,09/01/2016,06/02/2016,9.11761881436681,5.02831063181523,14.6361823368429
Jamaica,Gamma,16/01/2016,13/02/2016,5.06017348738783,2.57906021186021,9.07487679755554
Jamaica,Gamma,23/01/2016,20/02/2016,2.74092025235854,1.76415187383265,4.51789313394247
Jamaica,Gamma,30/01/2016,27/02/2016,1.85156999006199,1.43167875377926,2.50440194490094
Jamaica,Gamma,06/02/2016,05/03/2016,1.40055658626503,1.17688797792663,1.70247780358684
Jamaica,Gamma,13/02/2016,12/03/2016,0.876952988800701,0.763648531355498,1.01465170842252
Jamaica,Gamma,20/02/2016,19/03/2016,0.686093953597499,0.603344538911824,0.778054559288497
Jamaica,Gamma,27/02/2016,26/03/2016,0.539000971604964,0.45443431502403,0.639305873099551
Jamaica,Gamma,05/03/2016,02/04/2016,0.441495558635083,0.356110083517025,0.54374697034862
Jamaica,Gamma,12/03/2016,09/04/2016,0.282227442341615,0.210716336194747,0.371437928673806
Jamaica,Gamma,19/03/2016,16/04/2016,0.174535491838362,0.113874492693857,0.255622950532576
Jamaica,Gamma,26/03/2016,23/04/2016,0.0798362685331266,0.0368427738401499,0.145754115519718
Jamaica,Gamma,02/04/2016,30/04/2016,0.0742149606896249,0.0246640853354495,0.160282821705366
Jamaica,Gamma,09/04/2016,07/05/2016,0.121265627732166,0.0338476667705449,0.284760259867779
Jamaica,Gamma,16/04/2016,14/05/2016,0.20795075081786,0.0469327369157299,0.535319048711765
