City,Searches,Rain,Temp,Cases
Mexico-Baja_California_Sur,26,12.1,29.8,0
Mexico-Baja_California_Sur,93,5.6,17.7,0
Mexico-Baja_California_Sur,0,68.3,30.8,0
Mexico-Baja_California_Sur,10,1.3,23.4,1
Mexico-Baja_California_Sur,0,54.3,29.6,0
Mexico-Baja_California_Sur,0,0.2,24.3,0
Mexico-Baja_California_Sur,92,1.3,23.4,1
Mexico-Baja_California_Sur,0,1.9,26.6,0
Mexico-Baja_California_Sur,100,1.6,23.7,0
Mexico-Baja_California_Sur,0,2.6,22.2,0
Mexico-Baja_California_Sur,0,6.5,27.5,0
Mexico-Baja_California_Sur,46,12.1,29.8,0
Mexico-Baja_California_Sur,34,8.4,17.8,0
Mexico-Baja_California_Sur,0,12.2,19.1,5
Mexico-Baja_California_Sur,33,2.6,27.9,7
Mexico-Baja_California_Sur,33,12.2,19.1,2
Mexico-Baja_California_Sur,0,0.1,23.1,0
Mexico-Baja_California_Sur,85,8,21.1,0
Mexico-Baja_California_Sur,100,8.4,17.8,0
Mexico-Baja_California_Sur,14,79.9,28.5,0
Mexico-Baja_California_Sur,18,0.3,21.1,0
Mexico-Baja_California_Sur,38,3.1,23.6,0
Mexico-Baja_California_Sur,0,0.6,28,0
Mexico-Baja_California_Sur,16,0.6,28,1
Mexico-Baja_California_Sur,0,0.5,21.8,0
Mexico-Baja_California_Sur,0,1.3,23.4,1
Mexico-Baja_California_Sur,29,59,28.3,1
Mexico-Baja_California_Sur,35,0.3,21.1,0
Mexico-Baja_California_Sur,0,1.9,26.6,0
Mexico-Baja_California_Sur,42,0.3,21.1,0
Mexico-Baja_California_Sur,0,68.3,30.8,0
Mexico-Baja_California_Sur,18,59,28.3,0
Mexico-Baja_California_Sur,32,5.6,17.7,0
Mexico-Durango,0,14.6,12.3,0
Mexico-Durango,46,7.8,14.9,0
Mexico-Durango,0,7.8,14.9,0
Mexico-Durango,0,12.5,25,0
Mexico-Durango,0,104,23.7,0
Mexico-Durango,0,1.4,20.2,0
Mexico-Durango,0,0,16.5,0
Mexico-Durango,21,139.3,22.4,0
Mexico-Durango,0,14.6,12.3,0
Mexico-Durango,0,16.7,19.8,0
Mexico-Durango,0,8.9,22.1,0
Mexico-Durango,6,104,23.7,0
Mexico-Durango,0,1.4,20.2,0
Mexico-Durango,0,180.4,22.1,0
Mexico-Durango,0,139.3,22.4,0
Mexico-Durango,0,14.6,12.3,0
Mexico-Durango,0,0,16.5,0
Mexico-Durango,0,1.4,20.2,0
Mexico-Durango,0,13.3,17.6,0
Mexico-Durango,6,180.4,22.1,0
Mexico-Durango,16,10.9,16.1,0
Mexico-Durango,0,18.7,16.7,0
Mexico-Durango,0,4.7,22.5,0
Mexico-Durango,0,16,14.1,0
Mexico-Durango,32,18.7,16.7,0
Mexico-Durango,0,16.7,19.8,0
Mexico-Durango,5,16.7,19.8,0
Mexico-Durango,0,1.3,13.4,0
Mexico-Durango,10,56.7,23.5,0
Mexico-Durango,0,4.7,22.5,0
Mexico-Durango,9,8.9,22.1,0
Mexico-Durango,46,3.1,19.3,0
Mexico-Durango,0,34.1,19.5,0
Mexico-Durango,0,13.3,17.6,0
Mexico-Durango,0,3.1,19.3,0
Mexico-Durango,0,56.7,23.5,0
Mexico-Durango,0,8.3,10.5,0
Mexico-Durango,0,0,16.5,0
Mexico-Durango,0,5.1,17.1,0
Mexico-Durango,50,3.6,14.6,0
Mexico-Durango,0,34.1,19.5,0
Mexico-Durango,0,14.6,12.3,0
Mexico-Durango,6,104,23.7,0
Mexico-Durango,0,97.3,21,0
Mexico-Durango,25,16,14.1,0
Mexico-Durango,12,16.7,19.8,0
Mexico-Durango,0,104,23.7,0
Mexico-Durango,53,3.1,19.3,0
Mexico-Durango,0,56.7,23.5,0
Mexico-Durango,0,7.8,14.9,0
Mexico-Durango,0,1.3,13.4,0
Mexico-Durango,0,13.3,17.6,0
Mexico-Durango,0,16,14.1,0
Mexico-Durango,62,18.7,16.7,0
Mexico-Durango,0,97.3,21,0
Mexico-Durango,13,82.6,21.7,0
Mexico-Durango,0,180.4,22.1,0
Mexico-Durango,0,121.7,23,0
Mexico-Durango,0,97.3,21,0
Mexico-Durango,5,82.6,21.7,0
Mexico-Durango,0,7.8,14.9,0
Mexico-Durango,55,3.1,19.3,0
Mexico-Durango,0,121.7,23,0
Mexico-Durango,0,104,23.7,0
Mexico-Durango,0,1.4,20.2,0
Mexico-Durango,0,8.9,22.1,0
